ID,prediction
0,no
1,no
2,no
3,no
4,no
5,no
6,no
7,no
8,no
9,no
10,no
11,no
12,yes
13,no
14,no
15,no
16,no
17,no
18,no
19,yes
20,yes
21,no
22,no
23,no
24,no
25,no
26,no
27,no
28,no
29,no
30,no
31,no
32,yes
33,yes
34,yes
35,no
36,no
37,no
38,no
39,no
40,no
41,no
42,yes
43,no
44,yes
45,no
46,no
47,no
48,no
49,no
50,yes
51,yes
52,no
53,yes
54,no
55,no
56,no
57,no
58,yes
59,no
60,no
61,no
62,no
63,no
64,yes
65,no
66,yes
67,no
68,yes
69,yes
70,no
71,yes
72,no
73,no
74,no
75,no
76,no
77,no
78,no
79,no
80,no
81,no
82,no
83,no
84,no
85,no
86,no
87,no
88,no
89,no
90,no
91,no
92,no
93,no
94,no
95,no
96,no
97,no
98,no
99,no
100,yes
101,no
102,no
103,no
104,no
105,no
106,yes
107,no
108,no
109,no
110,no
111,no
112,no
113,no
114,no
115,no
116,no
117,no
118,no
119,no
120,no
121,no
122,no
123,no
124,no
125,no
126,no
127,no
128,no
129,no
130,no
131,no
132,no
133,no
134,no
135,no
136,no
137,yes
138,no
139,no
140,no
141,no
142,no
143,no
144,no
145,no
146,no
147,no
148,no
149,no
150,no
151,no
152,no
153,no
154,no
155,no
156,no
157,no
158,no
159,no
160,no
161,no
162,yes
163,no
164,no
165,no
166,yes
167,no
168,no
169,yes
170,yes
171,no
172,no
173,no
174,yes
175,no
176,no
177,no
178,no
179,no
180,no
181,no
182,no
183,no
184,no
185,yes
186,no
187,no
188,no
189,yes
190,no
191,no
192,no
193,yes
194,no
195,no
196,no
197,no
198,no
199,no
200,no
201,no
202,no
203,no
204,no
205,no
206,no
207,no
208,no
209,no
210,no
211,no
212,no
213,yes
214,no
215,yes
216,no
217,no
218,no
219,no
220,no
221,no
222,no
223,yes
224,no
225,no
226,no
227,no
228,no
229,no
230,no
231,no
232,no
233,no
234,no
235,no
236,no
237,yes
238,no
239,no
240,yes
241,no
242,yes
243,yes
244,no
245,no
246,no
247,no
248,yes
249,no
250,no
251,no
252,no
253,yes
254,no
255,no
256,no
257,no
258,no
259,yes
260,no
261,no
262,no
263,yes
264,no
265,yes
266,yes
267,no
268,no
269,no
270,no
271,no
272,no
273,yes
274,no
275,no
276,no
277,no
278,no
279,no
280,no
281,no
282,no
283,no
284,no
285,no
286,no
287,no
288,no
289,no
290,no
291,no
292,yes
293,no
294,no
295,no
296,no
297,no
298,no
299,no
300,no
301,no
302,no
303,no
304,no
305,no
306,no
307,no
308,no
309,no
310,no
311,no
312,no
313,yes
314,no
315,no
316,no
317,no
318,no
319,yes
320,no
321,no
322,no
323,yes
324,no
325,no
326,no
327,no
328,no
329,no
330,no
331,no
332,no
333,no
334,no
335,yes
336,no
337,no
338,no
339,no
340,no
341,no
342,no
343,no
344,no
345,no
346,no
347,no
348,yes
349,no
350,no
351,no
352,no
353,no
354,no
355,no
356,no
357,no
358,yes
359,no
360,no
361,no
362,no
363,no
364,no
365,no
366,no
367,yes
368,no
369,no
370,no
371,no
372,no
373,no
374,no
375,no
376,no
377,yes
378,no
379,no
380,no
381,no
382,no
383,no
384,no
385,yes
386,no
387,no
388,no
389,yes
390,no
391,no
392,no
393,no
394,no
395,no
396,no
397,no
398,no
399,no
400,yes
401,no
402,no
403,no
404,no
405,no
406,no
407,no
408,no
409,no
410,no
411,no
412,no
413,no
414,no
415,no
416,yes
417,no
418,no
419,no
420,no
421,no
422,no
423,no
424,no
425,no
426,yes
427,yes
428,no
429,no
430,no
431,no
432,no
433,no
434,no
435,no
436,no
437,no
438,no
439,no
440,no
441,no
442,no
443,no
444,no
445,no
446,no
447,no
448,no
449,no
450,no
451,no
452,no
453,no
454,no
455,yes
456,no
457,no
458,no
459,no
460,no
461,no
462,no
463,yes
464,no
465,no
466,no
467,no
468,no
469,no
470,no
471,no
472,no
473,no
474,no
475,no
476,no
477,no
478,no
479,no
480,no
481,no
482,no
483,no
484,no
485,no
486,no
487,no
488,no
489,no
490,no
491,no
492,no
493,no
494,no
495,no
496,no
497,no
498,no
499,no
500,no
501,no
502,no
503,no
504,no
505,no
506,no
507,no
508,no
509,no
510,no
511,yes
512,yes
513,no
514,no
515,no
516,no
517,no
518,no
519,no
520,no
521,no
522,no
523,no
524,no
525,no
526,no
527,no
528,no
529,no
530,no
531,no
532,no
533,yes
534,no
535,no
536,no
537,no
538,no
539,yes
540,no
541,no
542,no
543,no
544,no
545,yes
546,no
547,no
548,no
549,no
550,no
551,no
552,no
553,yes
554,no
555,no
556,no
557,no
558,no
559,yes
560,yes
561,yes
562,no
563,no
564,no
565,no
566,no
567,yes
568,no
569,no
570,no
571,no
572,no
573,no
574,no
575,yes
576,no
577,no
578,no
579,yes
580,no
581,no
582,no
583,no
584,yes
585,no
586,no
587,no
588,no
589,no
590,no
591,no
592,no
593,no
594,no
595,yes
596,no
597,no
598,no
599,no
600,yes
601,no
602,no
603,no
604,no
605,no
606,no
607,no
608,no
609,yes
610,no
611,no
612,no
613,yes
614,yes
615,no
616,yes
617,no
618,no
619,yes
620,yes
621,no
622,no
623,no
624,no
625,no
626,no
627,no
628,no
629,no
630,no
631,yes
632,no
633,no
634,no
635,no
636,no
637,no
638,no
639,no
640,no
641,no
642,no
643,no
644,no
645,no
646,no
647,no
648,no
649,no
650,no
651,no
652,no
653,no
654,no
655,no
656,no
657,no
658,no
659,no
660,no
661,no
662,no
663,no
664,no
665,no
666,no
667,no
668,no
669,no
670,no
671,no
672,no
673,no
674,no
675,yes
676,no
677,no
678,no
679,no
680,no
681,no
682,no
683,no
684,no
685,no
686,no
687,no
688,no
689,no
690,no
691,no
692,no
693,no
694,yes
695,no
696,no
697,no
698,no
699,no
700,no
701,no
702,yes
703,no
704,no
705,no
706,no
707,no
708,no
709,no
710,no
711,no
712,no
713,no
714,no
715,no
716,no
717,no
718,yes
719,no
720,no
721,yes
722,no
723,no
724,no
725,no
726,no
727,no
728,no
729,no
730,no
731,no
732,no
733,no
734,no
735,no
736,no
737,no
738,no
739,no
740,no
741,no
742,no
743,yes
744,no
745,no
746,no
747,no
748,no
749,yes
750,no
751,no
752,no
753,no
754,no
755,no
756,no
757,no
758,no
759,no
760,no
761,no
762,no
763,no
764,no
765,no
766,no
767,no
768,no
769,no
770,no
771,no
772,no
773,no
774,no
775,no
776,no
777,no
778,no
779,no
780,no
781,no
782,no
783,no
784,yes
785,no
786,no
787,no
788,no
789,no
790,no
791,no
792,no
793,no
794,no
795,no
796,no
797,no
798,no
799,yes
800,no
801,yes
802,no
803,no
804,no
805,no
806,no
807,no
808,no
809,no
810,no
811,no
812,no
813,no
814,no
815,no
816,no
817,no
818,no
819,no
820,no
821,no
822,no
823,no
824,no
825,no
826,no
827,no
828,no
829,no
830,no
831,no
832,yes
833,no
834,no
835,no
836,no
837,no
838,no
839,no
840,no
841,no
842,no
843,no
844,yes
845,no
846,yes
847,no
848,no
849,no
850,no
851,no
852,no
853,no
854,yes
855,no
856,yes
857,no
858,no
859,yes
860,no
861,no
862,no
863,no
864,no
865,no
866,no
867,no
868,no
869,no
870,no
871,no
872,no
873,no
874,no
875,no
876,no
877,no
878,no
879,no
880,yes
881,no
882,no
883,no
884,yes
885,no
886,no
887,no
888,no
889,no
890,no
891,no
892,no
893,no
894,no
895,no
896,no
897,no
898,no
899,no
900,no
901,no
902,no
903,no
904,no
905,no
906,no
907,no
908,no
909,no
910,yes
911,no
912,no
913,no
914,no
915,yes
916,yes
917,no
918,no
919,no
920,no
921,no
922,no
923,no
924,no
925,no
926,no
927,no
928,yes
929,yes
930,no
931,no
932,no
933,yes
934,no
935,no
936,no
937,no
938,no
939,no
940,yes
941,no
942,no
943,no
944,no
945,no
946,no
947,no
948,no
949,no
950,no
951,no
952,no
953,no
954,no
955,no
956,no
957,no
958,no
959,no
960,no
961,no
962,no
963,no
964,no
965,yes
966,no
967,no
968,no
969,no
970,no
971,no
972,yes
973,no
974,no
975,no
976,no
977,no
978,no
979,no
980,no
981,no
982,no
983,no
984,no
985,yes
986,no
987,yes
988,no
989,no
990,no
991,no
992,no
993,no
994,no
995,no
996,no
997,no
998,no
999,no
1000,no
1001,no
1002,yes
1003,no
1004,no
1005,yes
1006,no
1007,no
1008,no
1009,no
1010,yes
1011,no
1012,no
1013,no
1014,yes
1015,no
1016,no
1017,no
1018,no
1019,no
1020,no
1021,no
1022,no
1023,no
1024,no
1025,no
1026,no
1027,no
1028,no
1029,no
1030,no
1031,no
1032,no
1033,no
1034,no
1035,no
1036,no
1037,no
1038,no
1039,no
1040,no
1041,no
